model,dataset,Metric,Min,Max,Mean
ANN,Full,mae,0.022492,0.042764,0.031006
ANN,Full,mse,0.000822,0.00258,0.001606
ANN,Full,r2,-0.628751,0.680459,0.3274
ANN,FE,mae,0.025643,258.53549,51.733573
ANN,FE,mse,0.001384,34282500.964439,6856500.194506
ANN,FE,r2,-21645689183.54926,0.553897,-4329137836.448632
ANN,Reduced,mae,0.028205,0.042735,0.035207
ANN,Reduced,mse,0.001248,0.002707,0.001978
ANN,Reduced,r2,-0.595766,0.505411,0.206481
SAR,FE,mae,0.0277,0.0453,0.03414
SAR,FE,mse,0.0012,0.0036,0.00202
SAR,FE,r2,0.1173,0.4157,0.2894
SAR,Reduced,mae,0.0308,0.0486,0.03672
SAR,Reduced,mse,0.0015,0.0039,0.00228
SAR,Reduced,r2,-0.1149,0.4,0.16852
GWR,Reduced,mae,0.037145,0.057098,0.046388
GWR,Reduced,mse,0.002275,0.005164,0.003661
GWR,Reduced,r2,-0.58459,-0.087753,-0.331267
