0,Feature,VIF
All predictors,,
,f0,412360905312.5025
,f1,407307554252.55457
,f2,907526373273.6516
,f3,914622182650.385
,f4,905246156255.3761
,f5,249465442163.10287
,f6,284794613929.26904
,f7,455829921798.6332
,f8,1157588903064.001
,f9,622818369156.4785
,f10,3211122728962.9204
,f11,435088361256.93134
,f12,846461728666.5719
,f13,1151963071331.4993
,f14,339203105172.13947
,f15,192828225787.09494
,f16,167734953253.15167
,f17,234856050655.53275
,f18,449281686688.99603
,f19,2438992487067.6934
,f20,2485430257930.7373
,f21,734502100199.0535
,f22,2348682986894.6523
,f23,2816510085910.254
,f24,3130760950553.004
,f25,3227230116352.917
,f26,2048487435692.7432
,f27,1202723895679.1284
,f28,3109147136603.725
,f29,1025059662540.229
,f30,3985486395903.0938
,f31,3859125644704.7954
,f32,5949272955575.292
,f33,1357732778827.403
,f34,2015033390322.3696
,f35,499872315596.92505
,f36,558620643434.6931
,f37,866076851417.4031
,f38,571631608475.0265
,f39,683658387456.6218
,f40,1229987608185.3054
,f41,841873002592.8584
,f42,1228980659672.6692
,f43,603659222219.7568
,f44,1305959004602.1448
,f45,2048953424645.3577
,f46,152760192913.19968
,f47,322757704330.13196
,f48,396060120250.6812
,f49,536398240515.7808
,f50,1866777047614.7134
,f51,808908779051.728
,f52,321479022583.3747
,f53,2197950037760.125
,f54,1531836607949.1482
,f55,845270200332.3003
,f56,1441613196981.5928
,f57,249603703783.76633
,f58,1249958264604.634
,f59,2123838541556.4707
,f60,200959355095.62463
,f61,126537597352.4345
,f62,1379990693234.4097
,f63,1010682142587.6338
,f64,566918382095.9839
,f65,1019836872140.058
,f66,92966024902.62875
,f67,971126604284.743
,f68,697529563598.0013
,f69,483945801350.79474
,f70,475389204345.8591
,f71,370498920436.88007
,f72,887059213584.8918
,f73,258589781084.6633
,f74,1654518599327.8823
,f75,281431003116.41907
,f76,97982086380.94348
,f77,208601386200.2592
,f78,912491060150.0347
,f79,336089524430.63403
,f80,731876107478.7512
,f81,246031118676.34503
,f82,938641022795.018
,f83,189801063189.92313
,f84,145498001078.10214
,f85,799644820200.7273
,f86,407399667770.63605
,f87,584883068489.6748
,f88,786861121231.8505
,f89,494574964569.5691
,f90,1453946610934.785
,m0,979256279054.25
,m1,301072943635.4244
,m2,483633980602.5017
,m3,218218801597.56256
,m4,145674487793.1942
,m5,286999721346.57764
,m6,454633517804.4111
,m7,517031126499.1098
,m8,1693082566680.6377
,m9,522671575160.50555
,m10,1741531178410.8647
,m11,1203527425807.1875
,m12,912583511118.6415
,m13,350215764794.15967
,m14,1066824500146.9847
,m15,729327874877.8131
,m16,972594671713.745
,m17,1495467251326.746
,m18,590171619364.4995
,m19,740601813413.9938
,m20,2993419493101.0273
,m21,1071775256394.692
,m22,3034770638389.8223
,m23,437009327773.56714
,m24,2734426003260.775
,m25,1268262356342.0151
,m26,697799756332.5839
,m27,368679106657.15656
,m28,1230659824394.1785
,m29,2660915584857.0137
,m30,409604331729.9223
,m31,1602134339157.06
,m32,3507476345304.1245
,m33,3885763267791.6274
,m34,701276802767.128
,m35,643647224148.9918
,m36,292650570366.5278
,m37,1520459023420.154
,m38,475966986617.0467
,m39,1951722482067.3872
,m40,265214040832.13568
,m41,1157737693411.4385
,m42,68483833662.10467
,m43,788790546872.8428
,m44,1835207672115.1165
,m45,401336686483.1347
,m46,719654782257.9891
,m47,183240753834.625
,m48,2860336378133.0557
,m49,283807519763.71405
,m50,460067384551.07733
,m51,851422559291.1421
,m52,516586330278.7905
,m53,318568269602.4967
,m54,736243195581.2483
,m55,435761937820.077
,m56,46366959856.382416
,m57,542667746399.626
,m58,352974341826.98456
,m59,121020587350.5716
,m60,1520202405863.4585
,m61,1162819423540.0195
,m62,575981535665.7496
,m63,111087531816.44498
,m64,356255161758.5331
,m65,349794145815.18414
,m66,235174915267.38882
,m67,102187321368.90761
,m68,674191560983.6072
,m69,126381356177.08702
,m70,370498920436.88007
,m71,432664004935.19995
,m72,235839946971.64307
,m73,108937849286.91846
,m74,444317248162.0458
,m75,79104195799.77159
,m76,222454908736.50266
,m77,102057642027.0689
,m78,73889461569.15031
,m79,362389831210.6615
,m80,256761666326.71014
,m81,50501240523.116646
,m82,119226431952.8372
,m83,403403764544.1146
,m84,290348760709.8508
,m85,433726549561.37103
,m86,342153817843.91235
,m87,216764114618.46298
,m88,46291181664.53893
,m89,171089907205.50455
,m90,96305871617.19067
,white_british,61273464317965.93
,white_irish,743474969437.9688
,white_gypsy/irish_traveller,643463298667.0233
,white_roma,1184222883873.3884
,white_other,7188506987023.937
,mixed_white_and_asian,45616927849.87309
,mixed_white_and_black_african,5188478833376.147
,mixed_white_and_black_caribbean,200641523094.1146
,mixed_other,250172182389.20654
,asian_bangladeshi,8787511468039.992
,asian_chinese,1866003574630.4106
,asian_indian,14342673972517.504
,asian_pakistani,3392542092181.1646
,asian_other,2351135279232.8354
,black_african,9247637838543.113
,black_caribbean,4887248646088.438
,black_other,872114567655.0148
,other_arab,1925026555832.6548
,any_other,1980910326531.9973
,imd,3.8564288344779483
,greenspace_proportion,1.1763704312802306
,x_coord,2.282768549889534
,y_coord,2.1547494397389073
With feature engineering,,
,imd,1.619385434100708
,greenspace_proportion,1.0506952845806474
,mean_age,1.6652538043483402
,f_m_ratio,1.1443076324566688
,prevalent_any_other,1.123020487666401
,prevalent_asian_bangladeshi,8.813570527964256
,prevalent_asian_indian,22.199620988687585
,prevalent_asian_other,2.0930686415164983
,prevalent_asian_pakistani,3.2364341138990698
,prevalent_black_african,13.87955607491629
,prevalent_black_caribbean,2.2303221176737145
,prevalent_other_arab,1.3807016739819864
,prevalent_white_british,231.76456324704924
,prevalent_white_other,19.461769272596573
