0,Feature,VIF
All predictors,,
,f0,298528412261.0696
,f1,1455826613017.7778
,f2,430595623613.20355
,f3,1057803787990.7213
,f4,200986260286.53336
,f5,557169321708.5854
,f6,183940517373.40695
,f7,464384370733.192
,f8,889863589680.0032
,f9,1037576230243.1738
,f10,538450457600.48975
,f11,596226865343.284
,f12,865244885181.6515
,f13,181049231251.07523
,f14,285634529547.1869
,f15,375816716933.32465
,f16,2539385185999.716
,f17,514755929520.00183
,f18,529305944334.54736
,f19,857583476601.0656
,f20,443660686372.82
,f21,1478529096313.3604
,f22,2192066014782.4268
,f23,1199840049918.8748
,f24,4494610406557.381
,f25,2535810600996.901
,f26,2177756106078.5764
,f27,3181631668930.057
,f28,519836050945.9798
,f29,2017741768535.1685
,f30,2768890026050.105
,f31,4313792746523.4634
,f32,444185780389.63367
,f33,1407814825686.307
,f34,552453339962.0333
,f35,2019098689697.5996
,f36,370941407410.4683
,f37,1410018668556.824
,f38,323070274560.2938
,f39,117698087690.00877
,f40,1129854397232.9392
,f41,225580386554.65933
,f42,283557351007.1145
,f43,513318473513.47766
,f44,95188367289.20467
,f45,1618544340474.5718
,f46,590016982493.187
,f47,696935875482.8994
,f48,721730709514.5026
,f49,1020992887637.8363
,f50,203121036774.78333
,f51,998691568326.9755
,f52,1254834111833.518
,f53,138056178513.26566
,f54,637587545461.9518
,f55,330490909765.2085
,f56,140684731580.98514
,f57,818910742316.6644
,f58,1106535534980.4658
,f59,586406201480.5333
,f60,119674734996.0272
,f61,528126605379.1259
,f62,124978482790.9115
,f63,142516720538.2983
,f64,706502412325.7504
,f65,611860556670.1306
,f66,173385421369.8241
,f67,602327086715.3264
,f68,150245191905.60452
,f69,113725827385.27281
,f70,858400767629.943
,f71,391719546609.59344
,f72,264047820554.0863
,f73,724284275871.7427
,f74,152140926215.58017
,f75,650715160723.9554
,f76,567275428564.1134
,f77,523522188592.90857
,f78,1389356664312.9712
,f79,1279068340633.4836
,f80,91439005682.36122
,f81,153004115149.58624
,f82,244369061958.84296
,f83,154885291720.96487
,f84,115315767129.79288
,f85,471285017514.7024
,f86,643187607450.7992
,f87,39374357420.24757
,f88,505341071293.8169
,f89,261852411615.239
,f90,1213254209959.724
,m0,461978727739.7031
,m1,945042414724.687
,m2,1232680888838.2363
,m3,92284041010.42993
,m4,279206424511.50006
,m5,254131965543.0125
,m6,454060556270.65546
,m7,283843294196.60895
,m8,534488443789.5201
,m9,456337990411.43945
,m10,131197006070.16331
,m11,231797808810.0518
,m12,349143315557.05835
,m13,262416946006.90457
,m14,1752373395864.0063
,m15,1170982742426.0261
,m16,1496212500787.5403
,m17,1227975358519.5627
,m18,242978129342.8916
,m19,2011882790873.5742
,m20,3315126703990.0596
,m21,379490172940.4252
,m22,1170526218939.7
,m23,727913306508.8889
,m24,1546565806102.5056
,m25,128676113297.91843
,m26,1464823427344.445
,m27,840537444451.3804
,m28,2711378463197.168
,m29,2303631522951.66
,m30,389719593922.68054
,m31,783370956230.7351
,m32,479080860312.80206
,m33,2774861138244.2983
,m34,1431304505758.9373
,m35,461528963657.5626
,m36,205615652073.71118
,m37,186199182510.04654
,m38,703632470489.8829
,m39,544570692547.823
,m40,491230325847.5672
,m41,502073537053.567
,m42,85728963268.24084
,m43,849575481488.492
,m44,304729658797.6518
,m45,1040092292695.2646
,m46,353570137575.70135
,m47,644383978733.7954
,m48,973646011754.5122
,m49,654973767796.7562
,m50,941978587611.4822
,m51,521853954504.1131
,m52,476899415192.51294
,m53,690259732909.8776
,m54,187814322005.5255
,m55,538064471609.37823
,m56,646465172952.0557
,m57,117542957036.383
,m58,134059642417.41072
,m59,1107487920169.801
,m60,605403902052.762
,m61,240975955234.12146
,m62,224730520327.86905
,m63,107594897564.81583
,m64,407731621689.42065
,m65,320404071383.786
,m66,227316758902.20554
,m67,556102936021.5468
,m68,501905675623.5925
,m69,173669583039.1214
,m70,271530183731.49017
,m71,303466839215.0195
,m72,91408383108.45554
,m73,229120860163.33414
,m74,1349393146777.6768
,m75,92613301541.71457
,m76,764099020592.2118
,m77,70452957478.3999
,m78,193986889531.80978
,m79,732471273866.8774
,m80,181644367570.95593
,m81,238159684154.9707
,m82,225129327269.88907
,m83,452736831100.3263
,m84,26405710961.751095
,m85,248364839098.35635
,m86,203469758171.61362
,m87,75050612462.9504
,m88,477835504230.2914
,m89,274911465472.50006
,m90,952638736619.8828
,white_british,60451001709671.086
,white_irish,1021340203508.4468
,white_gypsy/irish_traveller,140684731580.98514
,white_roma,758245580835.1707
,white_other,7194248606023.156
,mixed_white_and_asian,44609750111.390625
,mixed_white_and_black_african,779979152644.6997
,mixed_white_and_black_caribbean,192737450083.26004
,mixed_other,277178706755.93896
,asian_bangladeshi,8586462587932.309
,asian_chinese,1822950668840.5166
,asian_indian,13207037030412.012
,asian_pakistani,3322463760509.4033
,asian_other,2374064115640.7466
,black_african,9324222830994.816
,black_caribbean,5031954890916.755
,black_other,835702287506.1228
,other_arab,1918057762934.6235
,any_other,1812313733348.288
,imd,3.856428834477943
,greenspace_proportion,1.1763704312802632
,x_coord,2.282768549889514
,y_coord,2.154749439738995
Without coordinates,,
,f0,inf
,f1,inf
,f2,inf
,f3,9007199254740992.0
,f4,inf
,f5,inf
,f6,inf
,f7,9007199254740992.0
,f8,9007199254740992.0
,f9,inf
,f10,inf
,f11,inf
,f12,inf
,f13,inf
,f14,9007199254740992.0
,f15,inf
,f16,inf
,f17,inf
,f18,inf
,f19,inf
,f20,inf
,f21,inf
,f22,inf
,f23,inf
,f24,inf
,f25,inf
,f26,inf
,f27,inf
,f28,inf
,f29,inf
,f30,inf
,f31,inf
,f32,inf
,f33,inf
,f34,inf
,f35,inf
,f36,inf
,f37,9007199254740992.0
,f38,9007199254740992.0
,f39,inf
,f40,inf
,f41,inf
,f42,inf
,f43,inf
,f44,9007199254740992.0
,f45,inf
,f46,inf
,f47,inf
,f48,inf
,f49,inf
,f50,inf
,f51,9007199254740992.0
,f52,inf
,f53,inf
,f54,inf
,f55,inf
,f56,inf
,f57,inf
,f58,inf
,f59,inf
,f60,inf
,f61,inf
,f62,inf
,f63,inf
,f64,inf
,f65,inf
,f66,9007199254740992.0
,f67,inf
,f68,9007199254740992.0
,f69,inf
,f70,inf
,f71,9007199254740992.0
,f72,9007199254740992.0
,f73,inf
,f74,inf
,f75,inf
,f76,9007199254740992.0
,f77,inf
,f78,inf
,f79,9007199254740992.0
,f80,inf
,f81,inf
,f82,inf
,f83,9007199254740992.0
,f84,inf
,f85,inf
,f86,9007199254740992.0
,f87,inf
,f88,inf
,f89,inf
,f90,inf
,m0,9007199254740992.0
,m1,inf
,m2,inf
,m3,inf
,m4,inf
,m5,inf
,m6,inf
,m7,inf
,m8,9007199254740992.0
,m9,inf
,m10,9007199254740992.0
,m11,inf
,m12,inf
,m13,inf
,m14,inf
,m15,inf
,m16,inf
,m17,inf
,m18,inf
,m19,inf
,m20,inf
,m21,inf
,m22,inf
,m23,inf
,m24,inf
,m25,inf
,m26,inf
,m27,inf
,m28,inf
,m29,inf
,m30,inf
,m31,inf
,m32,inf
,m33,inf
,m34,inf
,m35,inf
,m36,inf
,m37,inf
,m38,inf
,m39,inf
,m40,inf
,m41,inf
,m42,inf
,m43,9007199254740992.0
,m44,inf
,m45,inf
,m46,inf
,m47,inf
,m48,inf
,m49,inf
,m50,inf
,m51,inf
,m52,9007199254740992.0
,m53,inf
,m54,inf
,m55,inf
,m56,inf
,m57,inf
,m58,9007199254740992.0
,m59,9007199254740992.0
,m60,9007199254740992.0
,m61,inf
,m62,inf
,m63,inf
,m64,inf
,m65,inf
,m66,inf
,m67,9007199254740992.0
,m68,9007199254740992.0
,m69,inf
,m70,inf
,m71,4503599627370496.0
,m72,inf
,m73,inf
,m74,inf
,m75,inf
,m76,9007199254740992.0
,m77,inf
,m78,inf
,m79,inf
,m80,9007199254740992.0
,m81,inf
,m82,inf
,m83,inf
,m84,inf
,m85,inf
,m86,9007199254740992.0
,m87,9007199254740992.0
,m88,inf
,m89,9007199254740992.0
,m90,inf
,white_british,inf
,white_irish,inf
,white_gypsy/irish_traveller,inf
,white_roma,inf
,white_other,inf
,mixed_white_and_asian,inf
,mixed_white_and_black_african,inf
,mixed_white_and_black_caribbean,inf
,mixed_other,inf
